103.227.240.0/22,"(-6.1744,106.8294)"
103.233.164.0/22,"(22.291,114.15)"
103.234.108.0/22,"(-33.494,143.2104)"
103.234.180.0/22,"(39.9289,116.3883)"
103.235.224.0/19,"(39.9289,116.3883)"
103.236.220.0/22,"(28.1792,113.1136)"
103.237.240.0/21,"(34.6836,113.5325)"
103.238.80.0/22,"(21.2829,105.1904)"
103.240.172.0/22,"(34.7725,113.7266)"
103.241.212.0/23,"(-33.494,143.2104)"
103.245.56.0/22,"(32.9517,129.1014)"
103.245.96.0/22,"(23.7,90.375)"
103.250.56.0/22,"(1.2855,103.8565)"
103.251.236.0/22,"(22.3333,114.2)"
103.254.140.0/22,"(-37.8103,144.9544)"
103.254.2.0/23,"(-45.8847,168.7116)"
103.27.160.0/23,"(-33.494,143.2104)"
103.28.116.0/22,"(-6.1744,106.8294)"
103.28.4.0/22,"(22.5333,114.1333)"
103.3.120.0/22,"(39.9289,116.3883)"
103.32.96.0/22,"(24.4798,118.0819)"
103.34.196.0/22,"(36.6683,116.9972)"
103.34.224.0/21,"(31.0456,121.3997)"
103.35.156.0/22,"(23.7,90.375)"
103.38.232.0/22,"(31.0456,121.3997)"
103.38.48.0/22,"(20,77)"
103.4.168.0/22,"(34.7725,113.7266)"
103.4.188.0/22,"(4.8833,114.9333)"
103.40.240.0/20,"(36.6683,116.9972)"
103.43.200.0/22,"(20,77)"
103.44.101.0/24,"(-31.9522,115.8614)"
103.44.144.0/22,"(30.2936,120.1614)"
103.45.0.0/18,"(22.5333,114.1333)"
103.47.220.0/22,"(22.25,114.1667)"
103.50.220.0/22,"(34.7725,113.7266)"
103.55.224.0/22,"(-33.494,143.2104)"
103.55.79.0/25,"(-37.7247,144.8813)"
103.55.84.0/22,"(20,77)"
103.57.242.0/23,"(23.8833,87.3667)"
103.6.224.0/22,"(35.6427,139.7677)"
103.60.218.0/23,"(20,77)"
103.61.160.0/22,"(34.7725,113.7266)"
103.61.230.0/23,"(20,77)"
103.63.20.0/22,"(28.4333,77.3167)"
103.64.104.0/22,"(27.8043,114.9334)"
103.64.160.0/19,"(39.9289,116.3883)"
103.64.192.0/19,"(39.9289,116.3883)"
103.64.24.0/21,"(22.5333,114.1333)"
103.68.144.0/22,"(35.6427,139.7677)"
103.7.145.0/24,"(20,77)"
103.7.148.0/22,"(20,77)"
103.7.244.0/22,"(37.5112,126.9741)"
103.7.80.0/22,"(22.3,70.7833)"
103.72.184.0/22,"(-33.494,143.2104)"
103.73.0.0/19,"(22.5333,114.1333)"
103.73.154.0/23,"(28.5346,77.0536)"
103.73.204.0/22,"(23.1167,113.25)"
103.74.184.0/22,"(-31.0167,148.3833)"
103.78.134.0/23,"(30,70)"
103.79.132.0/22,"(37.5112,126.9741)"
103.79.232.0/21,"(20,77)"
103.79.4.0/22,"(-33.8612,151.1982)"
103.80.196.0/22,"(20,77)"
103.82.132.0/22,"(21.3833,103.0167)"
103.82.144.0/21,"(20,77)"
103.83.32.0/23,"(-6,147)"
103.84.28.0/22,"(23.1167,113.25)"
103.86.104.0/22,"(20,77)"
103.86.180.0/22,"(20,77)"
103.86.192.0/21,"(23.729,90.4112)"
103.86.224.0/22,"(34.7725,113.7266)"
103.87.60.0/22,"(-9.4442,124.8667)"
103.89.132.0/22,"(51.4964,-0.1224)"
103.89.160.0/22,"(-1.2833,116.8333)"
104.10.104.0/22,"(37.751,-97.822)"
104.100.0.0/16,"(42.3626,-71.0843)"
104.101.160.0/20,"(52.35,4.9167)"
104.103.71.0/24,"(52.35,4.9167)"
104.104.128.0/21,"(42.3626,-71.0843)"
104.104.140.0/22,"(52.35,4.9167)"
104.107.192.0/20,"(42.3626,-71.0843)"
104.108.192.0/18,"(42.3626,-71.0843)"
104.109.224.0/20,"(42.3626,-71.0843)"
104.110.0.0/17,"(42.3626,-71.0843)"
104.113.0.0/17,"(42.3626,-71.0843)"
104.113.128.0/18,"(42.3626,-71.0843)"
104.115.0.0/16,"(42.3626,-71.0843)"
104.116.128.0/18,"(42.3626,-71.0843)"
104.118.224.0/19,"(42.3626,-71.0843)"
104.119.192.0/18,"(42.3626,-71.0843)"
104.121.160.0/19,"(52.35,4.9167)"
104.121.232.0/21,"(42.3626,-71.0843)"
104.121.32.0/19,"(42.3626,-71.0843)"
104.122.192.0/20,"(52.35,4.9167)"
104.123.128.0/20,"(52.35,4.9167)"
104.123.160.0/19,"(42.3626,-71.0843)"
104.126.176.0/20,"(42.3626,-71.0843)"
104.127.128.0/17,"(42.3626,-71.0843)"
104.130.192.0/18,"(29.4889,-98.3987)"
104.130.96.0/20,"(29.4889,-98.3987)"
104.131.192.0/19,"(40.7308,-73.9975)"
104.132.164.0/22,"(40.8612,-79.8953)"
104.132.232.0/21,"(39.9523,-75.1638)"
104.133.128.0/17,"(37.4192,-122.0574)"
104.135.128.0/18,"(37.4192,-122.0574)"
104.137.64.0/21,"(30.8536,-86.2137)"
104.138.0.0/18,"(37.751,-97.822)"
104.138.144.0/20,"(36.0978,-80.3223)"
104.14.0.0/21,"(37.751,-97.822)"
104.141.0.0/16,"(30.405,-91.1868)"
104.142.128.0/17,"(33.5717,-117.7289)"
104.143.224.0/19,"(39.7157,-75.5281)"
104.146.3.0/25,"(41.6005,-93.6091)"
104.147.136.0/21,"(47.6801,-122.1206)"
104.151.128.0/19,"(34.0584,-118.278)"
104.151.228.0/22,"(34.0584,-118.278)"
104.155.0.0/16,"(37.4192,-122.0574)"
104.157.88.0/21,"(53.5334,-113.9187)"
104.16.0.0/12,"(37.7697,-122.3933)"
104.160.64.0/20,"(39.7157,-75.5281)"
104.161.0.0/19,"(33.4319,-112.015)"
104.161.128.0/17,"(33.4319,-112.015)"
104.164.0.0/15,"(37.3387,-121.8914)"
104.167.144.0/22,"(35.2936,-80.735)"
104.168.128.0/17,"(36.1554,-95.9939)"
104.170.0.0/16,"(39.1637,-94.5215)"
104.172.224.0/19,"(33.995,-118.3917)"
104.173.144.0/20,"(34.0273,-117.5878)"
104.174.16.0/20,"(34.1648,-118.4008)"
104.176.12.0/22,"(32.9245,-96.8938)"
104.176.188.0/24,"(41.9713,-87.7981)"
104.177.176.0/22,"(33.5982,-81.6712)"
104.181.127.0/24,"(37.751,-97.822)"
104.181.45.192/26,"(37.751,-97.822)"
104.183.188.0/22,"(35.185,-90.0936)"
104.184.152.0/21,"(37.751,-97.822)"
104.189.188.0/22,"(32.8592,-97.0819)"
104.191.162.0/23,"(37.751,-97.822)"
104.192.131.0/24,"(43.4042,-70.7455)"
104.195.128.0/17,"(43.6319,-79.3716)"
104.196.0.0/16,"(37.4192,-122.0574)"
104.198.0.0/16,"(37.4192,-122.0574)"
104.199.192.0/18,"(37.4192,-122.0574)"
104.2.224.0/22,"(35.3625,-81.5741)"
104.201.0.0/18,"(34.0584,-118.278)"
104.201.128.0/17,"(39.9455,-75.6024)"
104.203.192.0/19,"(34.0584,-118.278)"
104.205.60.0/22,"(51.0334,-113.8187)"
104.208.64.0/18,"(22.2833,114.15)"
104.209.128.0/17,"(36.6676,-78.3875)"
104.210.128.0/19,"(29.4241,-98.4936)"
104.212.34.0/25,"(47.6801,-122.1206)"
104.214.0.0/17,"(29.4241,-98.4936)"
104.215.64.0/18,"(29.4241,-98.4936)"
104.218.152.0/23,"(26.8574,-82.3116)"
104.220.163.0/25,"(38.4829,-121.6398)"
104.223.0.0/19,"(34.0494,-118.2641)"
104.223.192.0/19,"(34.0729,-118.2606)"
104.225.64.0/18,"(34.0943,-118.3811)"
104.225.8.0/22,"(39.018,-77.539)"
104.226.64.0/18,"(37.751,-97.822)"
104.230.48.0/20,"(41.3891,-81.5368)"
104.234.0.0/20,"(43.6656,-79.383)"
104.235.198.0/24,"(47.7892,-117.0266)"
104.236.96.0/19,"(40.8326,-74.1307)"
104.238.128.0/22,"(40.4652,-74.2307)"
104.239.0.0/17,"(39.7157,-75.5281)"
104.242.128.0/17,"(43.7545,-79.33)"
104.242.16.0/20,"(43.5924,-79.7611)"
104.243.80.0/23,"(42.9976,-81.2563)"
104.244.224.0/22,"(18,-76.8)"
104.244.230.0/24,"(18,-76.8)"
104.246.125.128/25,"(41.1267,-73.57)"
104.248.0.0/16,"(39.7157,-75.5281)"
104.250.229.0/24,"(14.5667,120.9833)"
104.252.0.0/15,"(37.3387,-121.8914)"
104.254.186.0/23,"(41.898,-86.0015)"
104.254.64.0/22,"(37.751,-97.822)"
104.34.128.0/19,"(34.2346,-118.5193)"
104.36.108.0/22,"(37.751,-97.822)"
104.36.16.0/22,"(37.4576,-122.1041)"
104.37.136.0/21,"(41.8656,-96.6822)"
104.38.128.0/17,"(40.8077,-77.8614)"
104.39.48.0/20,"(40.7849,-77.847)"
104.4.213.0/24,"(37.751,-97.822)"
104.40.0.0/17,"(37.3388,-121.8914)"
104.41.0.0/18,"(-22.9095,-47.0674)"
104.42.0.0/16,"(37.3388,-121.8914)"
104.45.128.0/18,"(38.7163,-78.1704)"
104.48.0.0/19,"(37.751,-97.822)"
104.50.20.0/22,"(42.113,-87.9807)"
104.53.86.0/24,"(37.751,-97.822)"
104.56.40.0/22,"(35.9331,-87.2447)"
104.57.211.0/24,"(37.751,-97.822)"
104.58.100.0/24,"(30.6081,-90.1944)"
104.58.87.0/24,"(33.5756,-85.134)"
104.59.66.0/23,"(37.751,-97.822)"
104.60.58.0/23,"(41.4973,-81.4714)"
104.63.192.0/22,"(32.5305,-97.3076)"
104.63.252.0/24,"(32.9954,-117.0753)"
104.66.64.0/19,"(52.35,4.9167)"
104.67.128.0/17,"(42.3626,-71.0843)"
104.68.0.0/17,"(42.3626,-71.0843)"
104.68.160.0/19,"(52.35,4.9167)"
104.69.240.0/20,"(52.35,4.9167)"
104.70.192.0/19,"(42.3626,-71.0843)"
104.71.224.0/19,"(42.3626,-71.0843)"
104.71.96.0/19,"(52.35,4.9167)"
104.74.26.0/23,"(42.3626,-71.0843)"
104.75.32.0/20,"(42.3626,-71.0843)"
104.76.198.0/24,"(42.3626,-71.0843)"
104.77.128.0/18,"(42.3626,-71.0843)"
104.78.128.0/17,"(42.3626,-71.0843)"
104.78.96.0/19,"(42.3626,-71.0843)"
104.79.0.0/16,"(42.3626,-71.0843)"
104.8.116.0/22,"(32.5838,-97.4142)"
104.8.250.0/24,"(31.3798,-89.5862)"
104.80.194.0/23,"(52.35,4.9167)"
104.80.96.0/19,"(52.35,4.9167)"
104.81.144.0/20,"(42.3626,-71.0843)"
104.81.192.0/20,"(42.3626,-71.0843)"
104.81.96.0/20,"(52.35,4.9167)"
104.85.176.0/20,"(42.3626,-71.0843)"
104.86.128.0/19,"(52.35,4.9167)"
104.88.0.0/16,"(42.3626,-71.0843)"
104.95.0.0/17,"(42.3626,-71.0843)"
105.101.24.0/22,"(36.7631,3.0506)"
105.101.32.0/21,"(36.7642,3.1468)"
105.106.128.0/21,"(36.365,6.6147)"
105.107.92.0/22,"(36.7642,3.1468)"
105.108.128.0/19,"(36.7642,3.1468)"
105.108.64.0/20,"(36.7642,3.1468)"
105.109.100.0/22,"(36.7642,3.1468)"
105.109.128.0/19,"(36.1914,5.4094)"
105.112.128.0/17,"(10,8)"
105.113.0.0/16,"(10,8)"
105.116.0.0/14,"(10,8)"
105.12.96.0/22,"(-26.4097,27.8368)"
105.120.0.0/13,"(10,8)"
105.129.0.0/16,"(32,-5)"
105.13.183.0/24,"(-25.7069,28.2294)"
105.131.128.0/21,"(32,-5)"
105.131.192.0/18,"(32,-5)"
105.133.128.0/17,"(32,-5)"
105.134.0.0/16,"(32,-5)"
105.135.224.0/19,"(34.261,-6.5802)"
105.137.0.0/16,"(32,-5)"
105.143.0.0/18,"(32,-5)"
105.143.128.0/17,"(32,-5)"
105.144.0.0/16,"(32,-5)"
105.15.192.0/21,"(-26.2309,28.0583)"
105.151.128.0/19,"(32,-5)"
105.152.64.0/20,"(34.0372,-4.9998)"
105.156.64.0/21,"(33.8935,-5.5473)"
105.156.88.0/21,"(33.8935,-5.5473)"
105.158.224.0/22,"(31.6315,-8.0083)"
105.16.128.0/21,"(11.5,43)"
105.163.128.0/17,"(1,38)"
105.164.0.0/19,"(1,38)"
105.164.128.0/17,"(1,38)"
105.165.0.0/16,"(1,38)"
105.166.128.0/17,"(1,38)"
105.166.96.0/19,"(1,38)"
105.167.128.0/18,"(1,38)"
105.169.0.0/16,"(-12.5,18.5)"
105.17.0.0/17,"(-20.2439,57.4797)"
105.170.0.0/15,"(-12.5,18.5)"
105.174.128.0/17,"(-12.5,18.5)"
105.174.64.0/18,"(-12.5,18.5)"
105.177.0.0/16,"(-29,24)"
105.180.192.0/19,"(30.0355,31.223)"
105.180.240.0/20,"(30.0771,31.2859)"
105.181.128.0/19,"(30.0771,31.2859)"
105.181.160.0/20,"(30.0355,31.223)"
105.182.124.0/22,"(30.0771,31.2859)"
105.182.128.0/19,"(30.0355,31.223)"
105.182.192.0/19,"(30.0355,31.223)"
105.182.56.0/21,"(30.0355,31.223)"
105.184.195.0/24,"(-29.65,30.2833)"
105.188.224.0/19,"(34.0389,-6.8166)"
105.189.20.0/22,"(35.5922,-5.9613)"
105.19.0.0/16,"(-20.2439,57.4797)"
105.190.112.0/20,"(32,-5)"
105.190.192.0/18,"(32,-5)"
105.191.0.0/17,"(32,-5)"
105.191.192.0/18,"(32,-5)"
105.192.192.0/19,"(30.0355,31.223)"
105.192.32.0/20,"(30.0081,31.2109)"
105.199.112.0/20,"(30.0081,31.2109)"
105.2.142.0/23,"(-26.5599,28.0195)"
105.203.128.0/18,"(30.0355,31.223)"
105.205.16.0/20,"(30.0771,31.2859)"
105.206.0.0/17,"(30.0355,31.223)"
105.206.192.0/18,"(30.0355,31.223)"
105.207.64.0/18,"(30.0355,31.223)"
105.209.128.0/18,"(-29,24)"
105.21.32.0/19,"(-1.2833,36.8167)"
